_id,name,__v,category,createdAt,date,description,isActive,maxTeamSize,minTeamSize,prize,type,venue
"""69bcdc5170afaddb955f7d0e""","Web Design","0","technical","""2026-03-20T05:34:09.399Z""","""2026-03-22T18:30:00.000Z""","Craft visually stunning and highly functional web interfaces. Show off your HTML, CSS, and JS prowess.","true","1","1","₹15,000","solo","GEC Madhubani"
"""69bcdc5170afaddb955f7d0f""","UI/UX Design","0","technical","""2026-03-20T05:34:10.471Z""","""2026-03-22T18:30:00.000Z""","Experience design at its finest. Create user-centric prototypes that solve real-world problems with elegance.","true","1","1","₹15,000","solo","GEC Madhubani"
"""69bcdc5570afaddb955f7d10""","Code Debugging","0","technical","""2026-03-20T05:34:11.621Z""","""2026-03-23T18:30:00.000Z""","Hunt down the bugs in complex systems. A race against time to fix broken code and optimize performance.","true","1","1","₹10,000","solo","Lab 1, CS Block"
"""69bcdc5670afaddb955f7d11""","Algorithm design","0","technical","""2026-03-20T05:34:15.456Z""","""2026-03-23T18:30:00.000Z""","Can you code with your monitor off? Test your syntax memory and typing precision in this extreme challenge.","true","1","1","₹10,000","solo","Lab 2, CS Block"
"""69bcdc5670afaddb955f7d13""","Competitive Coding","0","technical","""2026-03-20T05:34:15.631Z""","""2026-03-23T18:30:00.000Z""","The ultimate test of algorithms and data structures. Solve intense problems and climb the local leaderboard.","true","1","1","₹25,000","solo","Main Auditorium"
"""69bcdc5670afaddb955f7d14""","Robotics","0","technical","""2026-03-20T05:34:15.773Z""","""2026-03-22T18:30:00.000Z""","Build, program, and battle robots. From autonomous navigation to heavy-duty mechanical engineering.","true","5","2","₹40,000","team","Open Ground"
"""69bcdc5770afaddb955f7d15""","Circuit Design","0","technical","""2026-03-20T05:34:15.950Z""","""2026-03-23T18:30:00.000Z""","Blueprint the future of electronics. Design efficient and innovative PCB layouts and logic circuits.","true","2","1","₹15,000","team","Electronics Lab"
"""69bcdc5770afaddb955f7d16""","CAD Challenge","0","technical","""2026-03-20T05:34:16.147Z""","""2026-03-23T18:30:00.000Z""","Visualize engineering marvels. Create detailed 3D models and structural designs using industry-standard tools.","true","1","1","₹12,000","solo","Mechanical Lab"
"""69bcdc5770afaddb955f7d17""","Bridge Building","0","technical","""2026-03-20T05:34:16.250Z""","""2026-03-23T18:30:00.000Z""","Architecture meets physics. Construct weight-bearing structures and test their breaking points.","true","4","3","₹20,000","team","Civil Block Courtyard"
"""69bcdc5770afaddb955f7d18""","CAD-CAM","0","technical","""2026-03-20T05:34:16.350Z""","""2026-03-22T18:30:00.000Z""","Bridge the gap between design and manufacturing. Use CAD-CAM tools to design parts and generate machining toolpaths.","true","1","1","₹12,000","solo","Mechanical Lab"
"""69bcdc5770afaddb955f7d19""","3D Printing","0","technical","""2026-03-20T05:34:16.448Z""","""2026-03-22T18:30:00.000Z""","From filament to form. Design and print functional prototypes that push the boundaries of additive manufacturing.","true","1","1","₹15,000","solo","Fabrication Lab"
"""69bcdc5770afaddb955f7d1a""","Mechanical Simulation","0","technical","""2026-03-20T05:34:16.543Z""","""2026-03-23T18:30:00.000Z""","Simulate stress, flow, and motion. Use FEA and CFD tools to virtually test engineering designs before they're built.","true","2","1","₹10,000","team","Simulation Lab, Mech Block"
"""69bcdc5770afaddb955f7d1b""","Tesla Talk","0","technical","""2026-03-20T05:34:16.640Z""","""2026-03-22T18:30:00.000Z""","Electrify the stage with your knowledge of electrical engineering. Present innovations in power systems, EVs, or renewable energy.","true","1","1","₹10,000","solo","Seminar Hall, EE Block"
"""69bcdc5770afaddb955f7d1c""","Line Follower","0","technical","""2026-03-20T05:34:16.747Z""","""2026-03-22T18:30:00.000Z""","Program a bot to trace the path. Speed and precision are everything as your robot races along the track.","true","5","2","₹12,000","team","Robotics Arena"
"""69bcdc5770afaddb955f7d1d""","robo race","0","technical","""2026-03-20T05:34:16.843Z""","""2026-03-22T18:30:00.000Z""","Keep your bot from falling off the edge. A tense test of sensor calibration and real-time obstacle detection.","true","5","2","₹10,000","team","Robotics Arena"
"""69bcdc5770afaddb955f7d1e""","Robbo Soccer","0","technical","""2026-03-20T05:34:16.994Z""","""2026-03-23T18:30:00.000Z""","The beautiful game, reimagined with machines. Program your robot to outmaneuver, pass, and score against the opposition.","true","5","2","₹20,000","team","Open Ground / Robotics Arena"
"""69bcdc5870afaddb955f7d1f""","Model Exhibition","0","technical","""2026-03-20T05:34:17.104Z""","""2026-03-23T18:30:00.000Z""","Showcase your engineering creations to the world. A platform for inventors to explain their masterpieces.","true","3","1","₹15,000","team","Exhibition Hall A"
"""69bcdc5870afaddb955f7d20""","Short Film","0","cultural","""2026-03-20T05:34:17.200Z""","""2026-03-23T18:30:00.000Z""","5 minutes of cinematic brilliance. Tell a compelling story using your camera and editing skills.","true","5","1","₹20,000","team","Main Auditorium"
"""69bcdc5870afaddb955f7d21""","Photography","0","cultural","""2026-03-20T05:34:17.300Z""","""2026-03-22T18:30:00.000Z""","Capture the essence of Techexotica. A competition for the best lens through which to see the fest.","true","1","1","₹8,000","solo","Campus Wide"
"""69bcdc5970afaddb955f7d23""","Logo Design","0","cultural","""2026-03-20T05:34:18.023Z""","""2026-03-22T18:30:00.000Z""","Create the visual identity of a brand. Minimalist, impactful, and memorable graphic design challenge.","true","1","1","₹8,000","solo","Design Lab"
"""69bcdc5970afaddb955f7d24""","Poster presentation","0","cultural","""2026-03-20T05:34:18.499Z""","""2026-03-23T18:30:00.000Z""","Present complex technical info through visual storytelling. One poster, one talk, ultimate impact.","true","1","1","₹10,000","solo","Library Seminar Hall"
